Explaining class 0 for compound: Cc1ncsc1-c1nnc(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)n1C
Shapley values for edges:
(tensor(0, device='cuda:0'),tensor(1, device='cuda:0')): -0.0020879301344028556
(tensor(15, device='cuda:0'),tensor(16, device='cuda:0')): 0.04485329091335902
(tensor(16, device='cuda:0'),tensor(15, device='cuda:0')): 0.006371368670020289
(tensor(16, device='cuda:0'),tensor(17, device='cuda:0')): 0.015971779801140194
(tensor(17, device='cuda:0'),tensor(16, device='cuda:0')): 0.09341340129456743
(tensor(17, device='cuda:0'),tensor(18, device='cuda:0')): -0.008031259016404568
(tensor(17, device='cuda:0'),tensor(19, device='cuda:0')): -0.029415895774286507
(tensor(17, device='cuda:0'),tensor(30, device='cuda:0')): 0.01827976015360281
(tensor(18, device='cuda:0'),tensor(17, device='cuda:0')): 0.031696675863535646
(tensor(18, device='cuda:0'),tensor(19, device='cuda:0')): 0.007391707140571524
(tensor(19, device='cuda:0'),tensor(17, device='cuda:0')): 0.038866307560262346
(tensor(19, device='cuda:0'),tensor(18, device='cuda:0')): 0.04089880819949302
(tensor(19, device='cuda:0'),tensor(20, device='cuda:0')): -0.018817143510291526
(tensor(20, device='cuda:0'),tensor(19, device='cuda:0')): 0.006326746809377365
(tensor(20, device='cuda:0'),tensor(21, device='cuda:0')): 7.760500076574806e-05
(tensor(20, device='cuda:0'),tensor(29, device='cuda:0')): 0.008178327181497337
(tensor(21, device='cuda:0'),tensor(20, device='cuda:0')): -0.022019595454601814
(tensor(21, device='cuda:0'),tensor(22, device='cuda:0')): 0.0015712696890483057
(tensor(22, device='cuda:0'),tensor(21, device='cuda:0')): 9.048492767316967e-05
(tensor(22, device='cuda:0'),tensor(23, device='cuda:0')): 0.04049867160503339
(tensor(23, device='cuda:0'),tensor(22, device='cuda:0')): -0.021313296422546493
(tensor(23, device='cuda:0'),tensor(24, device='cuda:0')): 0.002078795881282222
(tensor(23, device='cuda:0'),tensor(28, device='cuda:0')): -0.0036080314432624695
(tensor(24, device='cuda:0'),tensor(23, device='cuda:0')): 0.033624498567613986
(tensor(24, device='cuda:0'),tensor(25, device='cuda:0')): -0.009186869047398565
(tensor(24, device='cuda:0'),tensor(26, device='cuda:0')): -0.02278662320520752
(tensor(24, device='cuda:0'),tensor(27, device='cuda:0')): -0.008279537015677609
(tensor(25, device='cuda:0'),tensor(24, device='cuda:0')): 0.005210312142880982
(tensor(26, device='cuda:0'),tensor(24, device='cuda:0')): 0.007970281897308275
(tensor(27, device='cuda:0'),tensor(24, device='cuda:0')): 0.009845456739800326
(tensor(28, device='cuda:0'),tensor(23, device='cuda:0')): 0.03729978744628081
(tensor(28, device='cuda:0'),tensor(29, device='cuda:0')): -0.005226048112457658
(tensor(29, device='cuda:0'),tensor(20, device='cuda:0')): -0.014980726045692673
(tensor(29, device='cuda:0'),tensor(28, device='cuda:0')): -0.006794218142895996
(tensor(30, device='cuda:0'),tensor(14, device='cuda:0')): 0.08867107662325212
(tensor(30, device='cuda:0'),tensor(17, device='cuda:0')): 0.03513444281934217
(tensor(31, device='cuda:0'),tensor(6, device='cuda:0')): -0.010204899500111369
(tensor(31, device='cuda:0'),tensor(9, device='cuda:0')): 0.010440936300132932
(tensor(31, device='cuda:0'),tensor(32, device='cuda:0')): 0.06980832952610923
(tensor(32, device='cuda:0'),tensor(31, device='cuda:0')): 0.049015588999112764

Sum of Shapley values: 1.012346866366315
