entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
C7C422	BLAN1_KLEPN	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Metallo-beta-lactamase NDM-1) (Metallo-beta-lactamase type II) (New Delhi metallo-beta-lactamase-1) (NDM-1)	Metallo-beta-lactamase superfamily, Class-B beta-lactamase family	Klebsiella pneumoniae	3.5.2.6	blaNDM-1	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]	Metallo-beta-lactamase type 2
I6YFP0	BIRA_MYCTU	Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15) (Biotin--[biotin carboxyl-carrier protein] ligase) (Biotin--protein ligase) (BPL) (Biotin-[acetyl-CoA carboxylase] synthetase)	Biotin--protein ligase family	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	6.3.4.15	birA	ATP binding [GO:0005524]; biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077]; biotin binding [GO:0009374]; protein homodimerization activity [GO:0042803]	Biotin--[acetyl-CoA-carboxylase] ligase
O00571	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DEAD box helicase family, DDX3/DED1 subfamily	Homo sapiens (Human)	3.6.4.13	DDX3X	ATPase [GO:0016887]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; cadherin binding [GO:0045296]; CTPase activity [GO:0043273]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; eukaryotic initiation factor 4E binding [GO:0008190]; gamma-tubulin binding [GO:0043015]; GTPase activity [GO:0003924]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; nucleoside-triphosphatase activity [GO:0017111]; poly(A) binding [GO:0008143]; protein serine/threonine kinase activator activity [GO:0043539]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA stem-loop binding [GO:0035613]; RNA strand annealing activity [GO:0033592]; transcription factor binding [GO:0008134]; translation initiation factor binding [GO:0031369]	ATP-dependent RNA helicase DDX3X
O00750	P3C2B_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.137) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.1.137; 2.7.1.154	PIK3C2B	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol kinase activity [GO:0052742]	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
O00459	P85B_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	PI3K p85 subunit family	Homo sapiens (Human)		PIK3R2	1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]; phosphotyrosine residue binding [GO:0001784]; protein heterodimerization activity [GO:0046982]; protein phosphatase binding [GO:0019903]; receptor tyrosine kinase binding [GO:0030971]	Phosphatidylinositol 3-kinase regulatory subunit beta
O00590	ACKR2_HUMAN	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	Homo sapiens (Human)		ACKR2	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine receptor activity [GO:0004950]; scavenger receptor activity [GO:0005044]	Atypical chemokine receptor 2
O02747	AHR_RABIT	Aryl hydrocarbon receptor (Ah receptor) (AhR)		Oryctolagus cuniculus (Rabbit)		AHR	DNA-binding transcription factor activity [GO:0003700]; E-box binding [GO:0070888]; nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; sequence-specific double-stranded DNA binding [GO:1990837]	Aryl hydrocarbon receptor
O00148	DX39A_HUMAN	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	DEAD box helicase family, DECD subfamily	Homo sapiens (Human)	3.6.4.13	DDX39A	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	ATP-dependent RNA helicase DDX39A
O00238	BMR1B_HUMAN	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Homo sapiens (Human)	2.7.11.30	BMPR1B	ATP binding [GO:0005524]; BMP binding [GO:0036122]; BMP receptor activity [GO:0098821]; metal ion binding [GO:0046872]; phosphatase activator activity [GO:0019211]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transcription regulator activator activity [GO:0140537]; transforming growth factor beta receptor activity, type I [GO:0005025]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]	Bone morphogenetic protein receptor type-1B
A9JQL9	CRTM_STAAU	4,4'-diapophytoene synthase (DAP synthase) (EC 2.5.1.96) (C30 carotenoid synthase) (Dehydrosqualene synthase)	Phytoene/squalene synthase family, CrtM subfamily	Staphylococcus aureus	2.5.1.96	crtM	farnesyltranstransferase activity [GO:0004311]; metal ion binding [GO:0046872]	4,4'-diapophytoene synthase
E9Q4Z2	ACACB_MOUSE	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)		Mus musculus (Mouse)	6.4.1.2	Acacb	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin binding [GO:0009374]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	Acetyl-CoA carboxylase 2
O00400	ACATN_HUMAN	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	SLC33A transporter family	Homo sapiens (Human)		SLC33A1	acetyl-CoA transmembrane transporter activity [GO:0008521]; solute:proton symporter activity [GO:0015295]	Acetyl-coenzyme A transporter 1
B5DF27	LOXL2_RAT	Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2)	Lysyl oxidase family	Rattus norvegicus (Rat)	1.4.3.13	Loxl2	calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; oligosaccharide binding [GO:0070492]; protein-lysine 6-oxidase activity [GO:0004720]; scavenger receptor activity [GO:0005044]	Lysyl oxidase homolog 2
O00519	FAAH1_HUMAN	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Fatty acid ester hydrolase) (EC 3.1.1.-) (Oleamide hydrolase 1)	Amidase family	Homo sapiens (Human)	3.5.1.99; 3.1.1.-	FAAH	acylglycerol lipase activity [GO:0047372]; amidase activity [GO:0004040]; anandamide amidohydrolase activity [GO:0103073]; fatty acid amide hydrolase activity [GO:0017064]; oleamide hydrolase activity [GO:0102077]	Fatty-acid amide hydrolase 1
O00142	KITM_HUMAN	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (Mt-TK)	DCK/DGK family	Homo sapiens (Human)	2.7.1.21	TK2	ATP binding [GO:0005524]; deoxycytidine kinase activity [GO:0004137]; deoxynucleoside kinase activity [GO:0019136]; nucleoside kinase activity [GO:0019206]; thymidine kinase activity [GO:0004797]	Thymidine kinase 2, mitochondrial
O00214	LEG8_HUMAN	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)		Homo sapiens (Human)		LGALS8	carbohydrate binding [GO:0030246]; integrin binding [GO:0005178]	Galectin-8
O00763	ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)		Homo sapiens (Human)	6.4.1.2	ACACB	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin binding [GO:0009374]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	Acetyl-CoA carboxylase 2
O00481	BT3A1_HUMAN	Butyrophilin subfamily 3 member A1 (CD antigen CD277)	Immunoglobulin superfamily, BTN/MOG family	Homo sapiens (Human)		BTN3A1	signaling receptor binding [GO:0005102]	Butyrophilin subfamily 3 member A1
O08532	CA2D1_MOUSE	Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1]	Calcium channel subunit alpha-2/delta family	Mus musculus (Mouse)		Cacna2d1	metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in bundle of His cell action potential [GO:0086057]	Voltage-dependent calcium channel subunit alpha-2/delta-1
O00555	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1A subfamily	Homo sapiens (Human)		CACNA1A	amyloid-beta binding [GO:0001540]; high voltage-gated calcium channel activity [GO:0008331]; metal ion binding [GO:0046872]; syntaxin binding [GO:0019905]; voltage-gated calcium channel activity [GO:0005245]	Voltage-dependent P/Q-type calcium channel subunit alpha-1A
O07855	CRTN_STAAE	4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming) (EC 1.3.8.-) (Dehydrosqualene desaturase)	Carotenoid/retinoid oxidoreductase family, CrtN subfamily	Staphylococcus aureus (strain Newman)	1.3.8.-	crtN	oxidoreductase activity [GO:0016491]	4,4'-diapophytoene desaturase
O02667	AA3R_RABIT	Adenosine receptor A3	G-protein coupled receptor 1 family	Oryctolagus cuniculus (Rabbit)		ADORA3	G protein-coupled adenosine receptor activity [GO:0001609]	Adenosine receptor A3
O02824	ADA1A_RABIT	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor)	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	Oryctolagus cuniculus (Rabbit)		ADRA1A	alpha1-adrenergic receptor activity [GO:0004937]; protein heterodimerization activity [GO:0046982]	Alpha-1A adrenergic receptor
A0R666	ETHR_MYCS2	HTH-type transcriptional regulator EthR		Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)		ethR	DNA binding [GO:0003677]	HTH-type transcriptional regulator EthR
O00222	GRM8_HUMAN	Metabotropic glutamate receptor 8 (mGluR8)	G-protein coupled receptor 3 family	Homo sapiens (Human)		GRM8	adenylate cyclase inhibiting G protein-coupled glutamate receptor activity [GO:0001640]; glutamate receptor activity [GO:0008066]; G protein-coupled receptor activity [GO:0004930]; group III metabotropic glutamate receptor activity [GO:0001642]	Metabotropic glutamate receptor 8
D3Z7P3	GLSK_MOUSE	Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]	Glutaminase family	Mus musculus (Mouse)	3.5.1.2	Gls	glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]	Glutaminase kidney isoform, mitochondrial
B0K020	CISD1_RAT	CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)	CISD protein family	Rattus norvegicus (Rat)		Cisd1	2 iron, 2 sulfur cluster binding [GO:0051537]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	CDGSH iron-sulfur domain-containing protein 1
O00574	CXCR6_HUMAN	C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	G-protein coupled receptor 1 family	Homo sapiens (Human)		CXCR6	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; coreceptor activity [GO:0015026]; C-X-C chemokine receptor activity [GO:0016494]; G protein-coupled receptor activity [GO:0004930]	C-X-C chemokine receptor type 6
B2RXH2	KDM4E_HUMAN	Lysine-specific demethylase 4E (EC 1.14.11.66) (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E)	JHDM3 histone demethylase family	Homo sapiens (Human)	1.14.11.66	KDM4E	dioxygenase activity [GO:0051213]; histone demethylase activity [GO:0032452]; histone demethylase activity (H3-K9 specific) [GO:0032454]; metal ion binding [GO:0046872]	Lysine-specific demethylase 4E
O00754	MA2B1_HUMAN	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	Glycosyl hydrolase 38 family	Homo sapiens (Human)	3.2.1.24	MAN2B1	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	Lysosomal alpha-mannosidase
O00255	MEN1_HUMAN	Menin		Homo sapiens (Human)		MEN1	chromatin binding [GO:0003682]; double-stranded DNA binding [GO:0003690]; four-way junction DNA binding [GO:0000400]; phosphoprotein binding [GO:0051219]; protein-macromolecule adaptor activity [GO:0030674]; protein N-terminus binding [GO:0047485]; R-SMAD binding [GO:0070412]; transcription cis-regulatory region binding [GO:0000976]; Y-form DNA binding [GO:0000403]	Menin
A1Z1Q3	MACD2_HUMAN	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)		Homo sapiens (Human)	3.5.1.-; 3.2.2.-	MACROD2	ADP-ribosylglutamate hydrolase activity [GO:0140293]; deacetylase activity [GO:0019213]; hydrolase activity, acting on glycosyl bonds [GO:0016798]	ADP-ribose glycohydrolase MACROD2
O00311	CDC7_HUMAN	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily	Homo sapiens (Human)	2.7.11.1	CDC7	ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Cell division cycle 7-related protein kinase
O00429	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	Homo sapiens (Human)	3.6.5.5	DNM1L	BH2 domain binding [GO:0051433]; clathrin binding [GO:0030276]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; microtubule binding [GO:0008017]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]; ubiquitin protein ligase binding [GO:0031625]	Dynamin-1-like protein
O00418	EF2K_HUMAN	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	Protein kinase superfamily, Alpha-type protein kinase family	Homo sapiens (Human)	2.7.11.20	EEF2K	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; elongation factor-2 kinase activity [GO:0004686]; protein kinase activity [GO:0004672]; translation factor activity, RNA binding [GO:0008135]	Eukaryotic elongation factor 2 kinase
O00748	EST2_HUMAN	Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56)	Type-B carboxylesterase/lipase family	Homo sapiens (Human)	3.1.1.84; 3.1.1.1; 3.1.1.56	CES2	carboxylic ester hydrolase activity [GO:0052689]; methyl indole-3-acetate esterase activity [GO:0080030]; methylumbelliferyl-acetate deacetylase activity [GO:0047374]	Cocaine esterase
O00764	PDXK_HUMAN	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	Pyridoxine kinase family	Homo sapiens (Human)	2.7.1.35	PDXK	ATP binding [GO:0005524]; lithium ion binding [GO:0031403]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; protein homodimerization activity [GO:0042803]; pyridoxal kinase activity [GO:0008478]; pyridoxal phosphate binding [GO:0030170]; sodium ion binding [GO:0031402]; zinc ion binding [GO:0008270]	Pyridoxal kinase
K4CF70	HPL_SOLLC	Fatty acid hydroperoxide lyase, chloroplastic (LeHPL) (EC 4.2.99.-) (Cytochrome P450 74B)	Cytochrome P450 family	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	4.2.99.-	HPL	heme binding [GO:0020037]; iron ion binding [GO:0005506]; lyase activity [GO:0016829]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	Fatty acid hydroperoxide lyase, chloroplastic
O02768	PGH2_RABIT	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	Prostaglandin G/H synthase family	Oryctolagus cuniculus (Rabbit)	1.14.99.1	PTGS2	dioxygenase activity [GO:0051213]; enzyme binding [GO:0019899]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; prostaglandin-endoperoxide synthase activity [GO:0004666]; protein homodimerization activity [GO:0042803]	Prostaglandin G/H synthase 2
C3L5T6	NADD_BACAC	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	NadD family	Bacillus anthracis (strain CDC 684 / NRRL 3495)	2.7.7.18	nadD	ATP binding [GO:0005524]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]	Probable nicotinate-nucleotide adenylyltransferase
A0A0C5PRQ1	NAS35_TELCI	Zinc metalloproteinase dpy-31 (EC 3.4.24.-) (Nematode astacin 35) (Procollagen C-proteinase)		Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	3.4.24.-	dpy-31	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	Zinc metalloproteinase dpy-31
O00257	CBX4_HUMAN	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)		Homo sapiens (Human)	2.3.2.-	CBX4	chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; methylated histone binding [GO:0035064]; phosphoprotein binding [GO:0051219]; single-stranded RNA binding [GO:0003727]; SUMO binding [GO:0032183]; SUMO ligase activity [GO:0061665]; SUMO transferase activity [GO:0019789]; transcription cis-regulatory region binding [GO:0000976]; transcription corepressor activity [GO:0003714]	E3 SUMO-protein ligase CBX4
O00182	LEG9_HUMAN	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)		Homo sapiens (Human)		LGALS9	carbohydrate binding [GO:0030246]; disaccharide binding [GO:0048030]; enzyme binding [GO:0019899]; galactose binding [GO:0005534]; galactoside binding [GO:0016936]	Galectin-9
A5U4N0	ADOK_MYCTA	Adenosine kinase (ADK) (AK) (EC 2.7.1.20)	Carbohydrate kinase PfkB family	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	2.7.1.20	adoK	adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]	Adenosine kinase
A0QNE0	GYRB_MYCS2	DNA gyrase subunit B (EC 5.6.2.2)	Type II topoisomerase GyrB family	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	5.6.2.2	gyrB	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; metal ion binding [GO:0046872]	DNA gyrase subunit B
O00167	EYA2_HUMAN	Eyes absent homolog 2 (EC 3.1.3.48)	HAD-like hydrolase superfamily, EYA family	Homo sapiens (Human)	3.1.3.48	EYA2	magnesium ion binding [GO:0000287]; protein tyrosine phosphatase activity [GO:0004725]	Eyes absent homolog 2
O00625	PIR_HUMAN	Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)	Pirin family	Homo sapiens (Human)	1.13.11.24	PIR	metal ion binding [GO:0046872]; quercetin 2,3-dioxygenase activity [GO:0008127]; transcription coregulator activity [GO:0003712]	Pirin
